,BG_mu_critical,BG_avg_clustering_coef,BG_avg_shortest_path_len,BG_No_of_communities,BG_modularity,BG_num_loops,BG_avg_cycle_len,BG_loops_per_edge,BG_Omega
0,0.247,0.33452380952380956,2.818681318681319,2.0,0.2925089179548157,55.0,7.490909090909091,0.018443997317236754,0.004167640312903398
1,0.251,0.30396825396825394,2.4725274725274726,3.0,0.27348394768133183,44.0,6.704545454545454,0.010178117048346057,0.1454581806637808
2,0.249,0.2910714285714286,2.2142857142857144,3.0,0.26099881093935795,16.0,5.6875,0.0036068530207394047,0.2503263175534143
3,0.259,0.4023809523809524,1.938095238095238,3.0,0.2465303140978817,80.0,6.7875,0.01881467544684854,0.1590356148356149
4,0.259,0.36968253968253967,2.447619047619048,3.0,0.21364265927977832,485.0,9.208247422680412,0.18849591916051303,0.03308222356977231
5,0.259,0.3825925925925926,2.4857142857142858,3.0,0.22367346938775506,31.0,6.032258064516129,0.009579728059332509,-0.0011987576918610632
6,0.252,0.36569940476190477,3.0875,3.0,0.3223684210526315,277.0,9.28158844765343,0.06407587323617858,-0.1058343244474822
7,0.249,0.2858974358974359,2.0064102564102564,3.0,0.18655692729766804,16.0,5.0,0.003747072599531616,0.34049906804590513
8,0.22999999999999998,0.34226190476190477,1.60989010989011,2.0,0.1997918834547346,8.0,4.375,0.002310803004043905,0.4499154570571636
9,0.249,0.33316326530612245,2.659340659340659,3.0,0.21800208116545264,52.0,6.461538461538462,0.017496635262449527,0.0433343110136617
10,0.261,0.2846153846153846,2.730769230769231,3.0,0.2297668038408779,37.0,6.648648648648648,0.00899805447470817,0.11462508815128536
11,0.261,0.28095238095238095,2.5164835164835164,3.0,0.2561111111111111,17.0,6.352941176470588,0.007925407925407926,0.17511085162290418
12,0.249,0.3615384615384615,2.5384615384615383,3.0,0.3035714285714286,24.0,5.583333333333333,0.006024096385542169,0.02265188811188834
13,0.252,0.4316326530612245,2.3626373626373627,3.0,0.24178200692041524,84.0,7.035714285714286,0.029484029484029485,-0.05418785123182457
14,0.259,0.31794871794871793,2.2051282051282053,3.0,0.21124828532235942,52.0,6.519230769230769,0.018258426966292134,0.20469584051607304
15,0.261,0.452891156462585,2.1758241758241756,3.0,0.2595918367346939,207.0,7.782608695652174,0.0639481000926784,-0.03011149659863921
16,0.262,0.33452380952380956,1.3296703296703296,2.0,0.28316326530612246,5.0,4.2,0.0022999080036798527,0.6899462967335694
17,0.261,0.34761904761904766,2.1263736263736264,3.0,0.23193359375,61.0,7.131147540983607,0.01493999510164095,0.17974180207389512
18,0.246,0.2736111111111111,0.9090909090909091,3.0,0.17708333333333331,4.0,3.25,0.0017543859649122807,1.4012792525252526
19,0.255,0.339484126984127,2.8736263736263736,3.0,0.265,78.0,7.076923076923077,0.03458980044345898,-0.01656034907943127
20,0.249,0.3087962962962963,1.5227272727272727,3.0,0.20746527777777782,4.0,3.5,0.0009883864591055103,0.572136666164129
21,0.238,0.2845238095238095,3.0549450549450547,4.0,0.2217598097502973,51.0,7.8431372549019605,0.014214046822742474,0.047715421532903646
22,0.259,0.25595238095238093,1.5604395604395604,3.0,0.24554102259215227,8.0,6.0,0.003336113427856547,0.6408203444911896
23,0.252,0.4237847222222222,2.5833333333333335,3.0,0.3065625,148.0,8.412162162162161,0.04124860646599777,-0.10233445096122507
24,0.259,0.4125850340136054,0.8076923076923077,2.0,0.22448096885813146,1.0,3.0,0.00044603033006244426,1.38697110698825
25,0.24,0.2683673469387755,1.6043956043956045,3.0,0.26218787158145074,4.0,5.0,0.0015214910612400153,0.587941150024144
26,0.261,0.3587301587301587,2.9523809523809526,3.0,0.293469387755102,101.0,7.97029702970297,0.03376797057840187,-0.0675763296560069
27,0.24,0.34111111111111114,2.3047619047619046,3.0,0.2805325987144169,8.0,4.625,0.00202275600505689,0.1287430211202939
28,0.251,0.3307692307692308,2.3525641025641026,4.0,0.20611111111111113,18.0,6.222222222222222,0.008333333333333333,0.1323284830700634
29,0.253,0.30476190476190473,2.230769230769231,3.0,0.2800237812128419,14.0,4.714285714285714,0.005490196078431373,0.21967434243917017
30,0.257,0.3977777777777778,2.7333333333333334,3.0,0.3115412710007305,185.0,8.583783783783783,0.06010396361273554,-0.09171768908598177
31,0.26,0.4348148148148148,2.5952380952380953,3.0,0.23995617238860487,196.0,8.83673469387755,0.06355382619974059,-0.1254542254347758
32,0.251,0.3722222222222222,2.5047619047619047,3.0,0.24272853185595564,117.0,7.641025641025641,0.029953917050691243,0.012375669239927833
33,0.257,0.2972222222222222,1.5454545454545454,3.0,0.18489583333333343,7.0,4.428571428571429,0.0018406521167499343,0.5765100772430186
34,0.259,0.3844444444444444,2.380952380952381,2.0,0.22205989773557339,163.0,7.877300613496932,0.04417344173441735,0.025988901010101095
35,0.259,0.3959821428571429,2.7666666666666666,2.0,0.25968749999999996,305.0,8.816393442622951,0.10255548083389375,-0.09606150837114691
36,0.251,0.40285714285714286,2.4904761904761905,3.0,0.2557870370370371,82.0,7.365853658536586,0.02911931818181818,-0.03937116535472163
37,0.25,0.3448717948717948,0.8910256410256411,3.0,0.32030178326474623,1.0,3.0,0.00047214353163361664,1.3102110204423876
38,0.248,0.37187500000000007,2.075,3.0,0.28375000000000006,78.0,7.653846153846154,0.022433132010353754,0.15573833515881685
39,0.25,0.3353741496598639,1.478021978021978,3.0,0.24277777777777781,8.0,4.75,0.001775410563692854,0.5581004916627009
40,0.259,0.3273015873015873,1.7380952380952381,3.0,0.21842560553633217,6.0,4.666666666666667,0.002898550724637681,0.3980278487418213
41,0.253,0.3141025641025641,1.5192307692307692,3.0,0.22016460905349794,6.0,4.166666666666667,0.0015033826108744675,0.5650978466259479
42,0.255,0.31666666666666665,2.143939393939394,4.0,0.18639999999999998,42.0,6.142857142857143,0.011475409836065573,0.22936779526715922
43,0.259,0.3527777777777778,2.3257575757575757,2.0,0.23999999999999996,26.0,5.461538461538462,0.0069611780455153946,0.10076983252722671
44,0.22999999999999998,0.43809523809523804,2.1868131868131866,3.0,0.29265306122448975,66.0,7.393939393939394,0.025851938895417155,-0.0071963945267460305
45,0.249,0.39566326530612245,2.28021978021978,3.0,0.23829201101928377,135.0,7.696296296296296,0.04250629722921914,0.03761822080157373
46,0.259,0.34730158730158733,2.219047619047619,3.0,0.18517165814463113,122.0,7.680327868852459,0.027489860297431275,0.1464168174696071
