,BG_mu_critical,BG_avg_clustering_coef,BG_avg_shortest_path_len,BG_No_of_communities,BG_modularity,BG_Omega
0,0.26899999999999996,0.19010304698799377,2.3129265629265627,5.0,0.2991764231889067,0.6819920735226602
1,0.23199999999999998,0.21024829792474806,2.281509492807298,7.0,0.2908067604918301,0.6652033613059865
2,0.259,0.21974792556821396,2.2335971307161513,6.0,0.2514269841347879,0.6720196931908848
3,0.241,0.19467718694177422,2.3273475251403943,5.0,0.27689236665101963,0.6691746393576616
4,0.251,0.18870724897184152,2.358905729669167,5.0,0.2948132244897959,0.6652490655391274
5,0.261,0.18638052562292318,2.267705170955059,5.0,0.280929253653325,0.7068144931685674
6,0.259,0.19604149089053224,2.228933478933479,5.0,0.2590611447296192,0.7095216966129316
7,0.24,0.18961531006860832,2.2469778328514387,5.0,0.2755199768328443,0.7110708880022028
8,0.21999999999999997,0.18389342986045637,2.308149385514855,6.0,0.2891358375146095,0.693266286438042
9,0.25,0.18874351506346856,2.2260459410296543,5.0,0.3062940847402685,0.721722527368987
10,0.249,0.20114349538166887,2.276289437784808,5.0,0.28276885363520404,0.6810483927324285
11,0.261,0.185935519222993,2.352241826345412,6.0,0.2957709904948454,0.6720722344184968
12,0.22999999999999998,0.20044478452230585,2.318387494858083,8.0,0.3013550913666018,0.6642698578544382
13,0.25,0.18495637341732588,2.308648381517173,6.0,0.2905398114156345,0.6914694063518654
14,0.259,0.18574386664901185,2.278675378675379,5.0,0.28114385569893025,0.7030223897525263
15,0.262,0.18659811640760385,2.288904850620637,5.0,0.282202190370047,0.6973646136990391
16,0.259,0.17710293128556456,2.346200853222645,6.0,0.30969309292315633,0.687710569475289
17,0.26,0.17596767153541928,2.353684541312204,5.0,0.3097173253406436,0.68637854318634
18,0.26,0.19739197754145743,2.311503826153131,5.0,0.27993372714855796,0.6716994865411798
19,0.251,0.16691120905652584,2.3496666741487284,5.0,0.2935472653235918,0.701528875138651
20,0.253,0.19853883652260307,2.2324597324597324,5.0,0.2630157820474171,0.7042082987582636
21,0.262,0.1871788048719708,2.3499278780554365,5.0,0.2809175008370202,0.6711504512885762
22,0.261,0.21685264357952083,2.260184788117422,6.0,0.25445402395486133,0.6645778474457393
23,0.247,0.19235855093374096,2.320752252840538,7.0,0.286268728517004,0.6753659391976914
24,0.243,0.1862882344311689,2.3674333198468767,6.0,0.2952132530952027,0.6654506957446064
25,0.21999999999999997,0.18745857570027433,2.272408301398497,6.0,0.29717966037835425,0.7031652203368921
26,0.22999999999999998,0.19109872456612514,2.2995950495950495,6.0,0.2808632952482924,0.6861047507246576
27,0.22999999999999998,0.1932643988195355,2.24361833952912,5.0,0.2756864535417385,0.7071092248080695
28,0.256,0.1890757701504007,2.251903114186851,5.0,0.2783247776685188,0.7097020972395351
29,0.26999999999999996,0.18814291130250554,2.2348026566267607,4.0,0.29575538609211954,0.7186870194395225
30,0.25,0.2122693885991522,2.1864569123153283,5.0,0.26721856773717884,0.7047554366673712
31,0.26899999999999996,0.18059566165938296,2.3263454120027824,5.0,0.27462281293394164,0.6906210543548373
32,0.24,0.20362021205437947,2.3359111476758536,6.0,0.2893165439905402,0.6522976078231064
33,0.26,0.20589011049519182,2.2315048183839883,5.0,0.2970796495293725,0.6936563012711774
34,0.26,0.17750933306360583,2.2841401841401843,6.0,0.29965171081157504,0.712976168749435
35,0.262,0.17184482893732975,2.352158200713789,6.0,0.3175495346978604,0.6931525896568018
36,0.26899999999999996,0.1847544956959038,2.273469387755102,6.0,0.2877268758810714,0.706745307405823
37,0.246,0.1876014975193305,2.313169176898386,6.0,0.31090558516950595,0.6856272063942355
38,0.264,0.1889615646718961,2.2840654462436056,5.0,0.2654649494230714,0.6959025256136027
39,0.265,0.17063504448006755,2.3757491414334133,6.0,0.32881659454969253,0.6855278843005428
40,0.252,0.1702698527488366,2.296646308796743,5.0,0.31552573265503575,0.7184632286122592
41,0.235,0.16466680872275935,2.3816005574080528,5.0,0.3196282665870977,0.692131865122809
42,0.255,0.18941293297730039,2.3555078935339826,7.0,0.29185744302861416,0.6655612347515274
43,0.22999999999999998,0.18529327541494114,2.355720255974925,6.0,0.2947013926706433,0.6716290664207887
44,0.251,0.1767741368651752,2.30429192575623,5.0,0.2908539235084229,0.70552039405241
45,0.245,0.21349038245857782,2.2644448762793106,7.0,0.24398594302807197,0.6677402728020972
46,0.25,0.17513018058487229,2.339044832950245,5.0,0.31830247325565875,0.6935704359259312
47,0.256,0.20963415451056658,2.2582277654433853,7.0,0.256180419921875,0.6762163934949217
48,0.259,0.1792930103259047,2.337556688017205,7.0,0.29841396376652785,0.6879606910896627
49,0.259,0.20292255879020457,2.264787514787515,5.0,0.3013992085849246,0.6833756582282265
50,0.237,0.19179007926416583,2.3047834392421347,6.0,0.28710859375,0.68288503567336
51,0.24,0.2215929805933802,2.198549764141749,6.0,0.24602301583911224,0.6852088839891768
52,0.259,0.20419919063553846,2.290551129685255,5.0,0.27498124843736976,0.6703732020637798
53,0.259,0.19742407439338353,2.327409666677041,6.0,0.30157720666022436,0.6650461148156162
54,0.25,0.18031344873299954,2.305902553127955,5.0,0.3163963011119952,0.6995566757694016
55,0.238,0.2014622804386862,2.2105969605969604,6.0,0.26562479239742776,0.709739155509305
56,0.245,0.19607831878834175,2.2397907200881177,5.0,0.27842853150319663,0.7046079126340972
57,0.259,0.1930769473401569,2.271662092829018,5.0,0.28893894210745524,0.6950962834590818
58,0.264,0.19211994715145617,2.2400270739032955,4.0,0.30963060199207026,0.7104150942656542
59,0.259,0.20741411289739328,2.225234377267582,6.0,0.2694041433630991,0.6942011887191669
60,0.26899999999999996,0.17865004175182697,2.381300196041232,7.0,0.2999282788025098,0.6713641054600757
61,0.24,0.19057211748547623,2.334923899629782,6.0,0.2885832898456371,0.6721913182560292
62,0.22999999999999998,0.19670600763071755,2.218631084754139,5.0,0.2701236929957168,0.7131835847935595
63,0.251,0.18507856374908777,2.2623997623997623,4.0,0.30330604670562644,0.7110695054245166
64,0.26899999999999996,0.18348801225605893,2.2848869834571612,5.0,0.30005017464862677,0.703726413244137
65,0.259,0.19428704194339055,2.273031246396864,5.0,0.3073898727761899,0.6926964233827594
66,0.243,0.18729382191118754,2.358981841036116,6.0,0.31470873613559086,0.6673296755708239
67,0.262,0.19616553922467575,2.3211009174311927,5.0,0.3036240742387285,0.6695350140526912
68,0.24,0.17366919848165382,2.3712823505645217,5.0,0.3272250963555344,0.6827673429831724
69,0.26,0.17843135392877238,2.271059680702882,5.0,0.3316962591829604,0.7172325785831946
70,0.249,0.17068350692920006,2.3529089732742747,5.0,0.30747052291004207,0.6945841265789681
71,0.259,0.20285505487937078,2.278787665693893,6.0,0.2743648979591837,0.677415917571194
72,0.259,0.18892448045138302,2.312589787122894,6.0,0.3012777521963103,0.6838931088088446
73,0.22499999999999998,0.18245324516156186,2.3126139604469587,6.0,0.31280834295357274,0.6935487839463144
