,ER_mu_critical,ER_avg_clustering_coef,ER_avg_shortest_path_len,ER_No_of_communities,ER_modularity,ER_num_loops,ER_avg_cycle_len,ER_loops_per_edge,ER_Omega
0,0.252,0.3133407262364659,1.8736263736263736,3,0.07618343195266275,13447,10.130884212091916,4.465958153437396,0.35157252121229077
1,0.259,0.36043038502227537,1.7307692307692308,2,0.0811760355029586,36200,10.243867403314917,8.302752293577981,0.34199736056555996
2,0.24,0.27764051066793216,2.1758241758241756,3,0.12577479338842973,808,7.8799504950495045,0.1812471960520413,0.2885260412098205
3,0.253,0.2903860975095252,1.838095238095238,3,0.08690031600114909,71016,11.28906161991664,16.584773470340963,0.41111698709996836
4,0.259,0.38943777711975575,1.6904761904761905,3,0.07088757396449709,519071,11.800718976787376,198.34581581964082,0.3130282157361677
5,0.24,0.309141460319878,1.7809523809523808,2,0.12356505102040821,84105,11.449592770941086,25.71232039131764,0.4071476122526283
6,0.259,0.3121655827886215,1.7875,3,0.11443786982248526,300951,12.249768234696013,68.97799679119872,0.3980989403843246
7,0.259,0.44220601755478217,1.641025641025641,3,0.07392753019575174,81247,10.380604822331902,18.850812064965197,0.24785562149130536
8,0.248,0.3153545006702642,1.7142857142857142,3,0.1098255606977572,60321,10.680177715886673,17.239496999142613,0.4335431805995197
9,0.25,0.35518172497049455,1.5384615384615385,3,0.08976403061224493,28435,10.035027255143309,9.446843853820598,0.4762060455081918
10,0.251,0.3272588575027599,1.7884615384615385,2,0.09777777777777774,6627,9.365323675871435,1.5995655322230269,0.3701374438366243
11,0.24,0.32639814628347474,1.8516483516483517,3,0.1280716368179925,13072,10.199127906976743,6.0156465715600556,0.3387668664821636
12,0.263,0.38572396650404733,1.6794871794871795,2,0.06228298611111113,28048,9.883628066172276,6.980587356893977,0.3264617125325442
13,0.244,0.4352568178518372,1.6373626373626373,2,0.06349206349206342,253636,11.012667760097147,87.79370024229837,0.26284369908573846
14,0.262,0.4096670986321375,1.608974358974359,2,0.05750739644970415,79098,10.131823813497181,27.397990994111534,0.32797080944102486
15,0.259,0.3699497981010586,1.8021978021978022,2,0.12345679012345678,13619,9.71995006975549,4.173766472571254,0.2851611985745719
16,0.243,0.40720663726468287,1.6373626373626373,2,0.09029830690674553,206881,11.181572981569115,93.23163587201442,0.313844027426019
17,0.249,0.31032623845218504,1.9175824175824177,2,0.19565217391304346,6365,9.646032992930087,1.5501704822211397,0.33593517468188283
18,0.258,0.4156674207943303,1.606060606060606,2,0.06214555765595463,20888,9.34139218690157,9.018998272884284,0.31900746819555736
19,0.261,0.4797335241577422,1.5879120879120878,2,0.06911242603550302,280164,10.979144358304422,121.54620390455531,0.21480733261033358
20,0.259,0.45466981401459644,1.6363636363636365,2,0.10884353741496591,10784,8.837722551928783,2.645731108930324,0.22819094421588526
21,0.259,0.3806512660360987,1.7967032967032968,3,0.10379999999999999,28060,10.38816821097648,7.751381215469613,0.26863302755738516
22,0.26,0.29261454757132227,2.021978021978022,2,0.1323456790123457,3989,9.439959889696667,1.647666253614209,0.32166235421814926
23,0.261,0.3544146078274325,1.8375,2,0.08996230906566158,249937,12.27463720857656,68.81525330396475,0.2950057223174698
24,0.23399999999999999,0.3022004258293511,1.6428571428571428,2,0.13679999999999998,7526,9.603906457613606,3.3212709620476613,0.5012385933537491
25,0.25,0.40299705007401526,1.6428571428571428,2,0.08546373365041623,143391,10.92450711690413,53.68438786971172,0.31797200381799606
26,0.25,0.36003196501718954,1.8238095238095238,3,0.10033057851239666,40384,11.008047741679873,13.354497354497354,0.29184394682371906
27,0.262,0.3408794016505072,1.7904761904761906,2,0.14176960643493244,112037,11.536367450038826,28.05132699048573,0.34428682291783996
28,0.25,0.43518726972176985,1.6153846153846154,2,0.09190672153635124,95931,10.18051516193931,43.64467697907188,0.27731327583054843
29,0.262,0.27723002708628536,1.8076923076923077,2,0.0968,23983,10.66080140099237,9.292134831460674,0.45083136274447155
30,0.249,0.3259932644552463,1.776190476190476,3,0.11727110582639719,78340,11.066530508041868,25.165435271442337,0.3791064214389138
31,0.263,0.3217999624718731,1.8,3,0.08977305372019534,71968,11.20054746554024,23.081462475946118,0.3738758258087156
32,0.249,0.3892029794269011,1.6761904761904762,2,0.08108710180441078,580507,11.87789983583316,146.92660086054164,0.3221576510419981
33,0.26,0.43502064719409744,1.6136363636363635,2,0.07896160086533263,13332,9.109060906090608,3.4727793696275073,0.2787739321182865
34,0.26,0.3755502410745635,1.661904761904762,2,0.1092529296875,519774,11.979922043041784,139.2749196141479,0.3558329557956621
35,0.256,0.3529398037064808,1.7541666666666667,3,0.0827216822059115,779042,12.572797102081788,258.0463729711825,0.34231406883857296
36,0.22999999999999998,0.37675857249740224,1.7666666666666666,3,0.0770975056689342,121578,11.023449966276793,42.65894736842105,0.2920447909995775
37,0.261,0.42527996134574025,1.6538461538461537,3,0.06747404844290654,36398,9.836721797900983,16.89786443825441,0.2704762647836437
38,0.263,0.4276332008742785,1.6416666666666666,2,0.08679687500000002,3964566,12.590183137321967,1121.8353140916809,0.27394092688294547
39,0.237,0.3579766732709288,1.7087912087912087,3,0.08928571428571432,60918,10.812666207032404,13.40625,0.3592859901358736
40,0.25,0.30925001723430895,1.7380952380952381,2,0.12214876033057848,133714,11.720522907100229,63.52209026128266,0.430848885227782
41,0.25,0.3951534309641444,1.7435897435897436,2,0.08579758433985837,18318,9.824216617534665,4.549925484351714,0.27153127525235776
42,0.23199999999999998,0.44105290755585447,1.5833333333333333,2,0.07311000452693522,29943,9.44457803159336,8.10146103896104,0.2882793068362456
43,0.251,0.44097386046086456,1.5984848484848484,2,0.10968750000000002,9234,8.9014511587611,2.452589641434263,0.27808943940333974
44,0.251,0.4126168774497212,1.5714285714285714,2,0.08740894901144636,782392,11.491972054928986,301.035782993459,0.3482402228186888
45,0.259,0.42407201225850016,1.6263736263736264,3,0.05357655846021259,273334,11.135003329260172,84.83364369956549,0.29030281554965576
46,0.26,0.408830085880958,1.6285714285714286,2,0.0619253143178832,1582733,12.27036398432332,352.42329102649745,0.3165830974413205
47,0.259,0.3726510505279551,1.879120879120879,3,0.08971164115343538,20765,10.068143510715146,7.9803996925441965,0.2410417582107356
48,0.26,0.47833277197619317,1.5909090909090908,2,0.047199999999999964,30290,9.440211290855068,7.368036973972269,0.21530633666666188
49,0.24,0.3850354217394219,1.5897435897435896,3,0.03789437585733882,106754,10.477153080915,32.51720986902224,0.3857333387728986
